Descritpion_ID,Top_20_Image_IDs
40.txt,112.jpg 132.jpg 1446.jpg 1273.jpg 1011.jpg 619.jpg 959.jpg 1510.jpg 1942.jpg 1862.jpg 1384.jpg 1087.jpg 1069.jpg 956.jpg 849.jpg 808.jpg 436.jpg 566.jpg 1161.jpg 597.jpg
1107.txt,1822.jpg 1375.jpg 112.jpg 1076.jpg 1643.jpg 1843.jpg 1025.jpg 312.jpg 959.jpg 76.jpg 1636.jpg 916.jpg 1958.jpg 949.jpg 1749.jpg 1667.jpg 1452.jpg 619.jpg 1735.jpg 1237.jpg
1551.txt,293.jpg 711.jpg 559.jpg 1160.jpg 1572.jpg 1902.jpg 876.jpg 1942.jpg 823.jpg 816.jpg 1281.jpg 674.jpg 423.jpg 1958.jpg 855.jpg 424.jpg 1227.jpg 140.jpg 523.jpg 1055.jpg
659.txt,548.jpg 1221.jpg 1182.jpg 95.jpg 713.jpg 1951.jpg 1299.jpg 890.jpg 380.jpg 1986.jpg 276.jpg 1159.jpg 4.jpg 1160.jpg 1549.jpg 988.jpg 1257.jpg 622.jpg 746.jpg 9.jpg
1268.txt,624.jpg 1491.jpg 1449.jpg 1932.jpg 1251.jpg 417.jpg 1686.jpg 987.jpg 1157.jpg 143.jpg 1302.jpg 1905.jpg 857.jpg 1220.jpg 954.jpg 1.jpg 1890.jpg 764.jpg 1095.jpg 798.jpg
1380.txt,954.jpg 1798.jpg 1342.jpg 172.jpg 1220.jpg 1877.jpg 285.jpg 1746.jpg 1589.jpg 1504.jpg 569.jpg 914.jpg 620.jpg 1491.jpg 994.jpg 951.jpg 1137.jpg 155.jpg 1393.jpg 1926.jpg
350.txt,337.jpg 1468.jpg 60.jpg 1634.jpg 1617.jpg 1093.jpg 1712.jpg 298.jpg 1501.jpg 1204.jpg 745.jpg 1761.jpg 1618.jpg 1310.jpg 478.jpg 800.jpg 1455.jpg 1640.jpg 1123.jpg 1923.jpg
1433.txt,1076.jpg 638.jpg 312.jpg 1451.jpg 1202.jpg 58.jpg 1271.jpg 1351.jpg 595.jpg 483.jpg 912.jpg 348.jpg 978.jpg 435.jpg 1131.jpg 68.jpg 1561.jpg 1958.jpg 462.jpg 484.jpg
393.txt,789.jpg 1941.jpg 1822.jpg 1843.jpg 1395.jpg 1735.jpg 76.jpg 1597.jpg 877.jpg 1316.jpg 702.jpg 1474.jpg 428.jpg 674.jpg 1559.jpg 112.jpg 1172.jpg 1281.jpg 473.jpg 191.jpg
1908.txt,1053.jpg 1286.jpg 1410.jpg 698.jpg 723.jpg 93.jpg 92.jpg 305.jpg 1980.jpg 599.jpg 1992.jpg 647.jpg 94.jpg 1522.jpg 50.jpg 594.jpg 1627.jpg 202.jpg 353.jpg 1836.jpg
1012.txt,731.jpg 235.jpg 94.jpg 1215.jpg 1000.jpg 1168.jpg 393.jpg 1207.jpg 1453.jpg 71.jpg 1126.jpg 1070.jpg 825.jpg 26.jpg 1522.jpg 305.jpg 805.jpg 1998.jpg 747.jpg 1921.jpg
1115.txt,1947.jpg 1244.jpg 710.jpg 1993.jpg 1829.jpg 195.jpg 1946.jpg 1766.jpg 1666.jpg 327.jpg 551.jpg 1583.jpg 283.jpg 404.jpg 1884.jpg 1390.jpg 1186.jpg 241.jpg 1747.jpg 1467.jpg
618.txt,1275.jpg 1944.jpg 996.jpg 1020.jpg 1855.jpg 1584.jpg 977.jpg 1458.jpg 1122.jpg 1018.jpg 358.jpg 1216.jpg 262.jpg 1465.jpg 1701.jpg 814.jpg 897.jpg 1311.jpg 1888.jpg 1727.jpg
1780.txt,74.jpg 1633.jpg 1870.jpg 1602.jpg 536.jpg 1062.jpg 684.jpg 101.jpg 1454.jpg 522.jpg 584.jpg 1115.jpg 1722.jpg 1732.jpg 1445.jpg 1396.jpg 1974.jpg 1036.jpg 1406.jpg 534.jpg
687.txt,424.jpg 1261.jpg 1031.jpg 472.jpg 1163.jpg 1919.jpg 1057.jpg 1656.jpg 1918.jpg 1283.jpg 1902.jpg 1004.jpg 423.jpg 1570.jpg 3.jpg 1700.jpg 1455.jpg 1531.jpg 837.jpg 911.jpg
1481.txt,1510.jpg 956.jpg 959.jpg 112.jpg 132.jpg 125.jpg 912.jpg 2.jpg 1161.jpg 922.jpg 1958.jpg 1384.jpg 1942.jpg 1452.jpg 44.jpg 931.jpg 387.jpg 1087.jpg 462.jpg 1273.jpg
1973.txt,1327.jpg 117.jpg 1930.jpg 699.jpg 545.jpg 1971.jpg 393.jpg 873.jpg 1996.jpg 1067.jpg 600.jpg 679.jpg 825.jpg 904.jpg 1321.jpg 218.jpg 769.jpg 523.jpg 1365.jpg 852.jpg
835.txt,1215.jpg 770.jpg 267.jpg 1207.jpg 1765.jpg 1620.jpg 1088.jpg 1187.jpg 829.jpg 960.jpg 1318.jpg 52.jpg 1400.jpg 1097.jpg 413.jpg 235.jpg 731.jpg 1727.jpg 289.jpg 636.jpg
723.txt,1377.jpg 718.jpg 1151.jpg 489.jpg 1944.jpg 1790.jpg 262.jpg 655.jpg 1289.jpg 1815.jpg 712.jpg 1768.jpg 1855.jpg 414.jpg 429.jpg 402.jpg 391.jpg 897.jpg 1139.jpg 623.jpg
704.txt,824.jpg 573.jpg 207.jpg 1552.jpg 817.jpg 1189.jpg 884.jpg 750.jpg 441.jpg 72.jpg 1301.jpg 1418.jpg 506.jpg 1370.jpg 1632.jpg 1831.jpg 474.jpg 1595.jpg 1358.jpg 235.jpg
1056.txt,1517.jpg 1802.jpg 1905.jpg 393.jpg 272.jpg 625.jpg 1998.jpg 990.jpg 1686.jpg 1677.jpg 805.jpg 951.jpg 1132.jpg 731.jpg 97.jpg 1906.jpg 909.jpg 1168.jpg 1995.jpg 728.jpg
1385.txt,1434.jpg 1926.jpg 1213.jpg 914.jpg 1062.jpg 880.jpg 584.jpg 346.jpg 518.jpg 1043.jpg 534.jpg 1433.jpg 1746.jpg 734.jpg 1798.jpg 964.jpg 1551.jpg 1307.jpg 620.jpg 951.jpg
1369.txt,936.jpg 637.jpg 434.jpg 1945.jpg 939.jpg 336.jpg 1166.jpg 1388.jpg 995.jpg 1028.jpg 68.jpg 1076.jpg 1577.jpg 2.jpg 1263.jpg 375.jpg 978.jpg 1231.jpg 525.jpg 1462.jpg
528.txt,462.jpg 1531.jpg 876.jpg 520.jpg 1419.jpg 1649.jpg 1293.jpg 596.jpg 564.jpg 1303.jpg 855.jpg 178.jpg 1332.jpg 27.jpg 1687.jpg 1958.jpg 1055.jpg 424.jpg 125.jpg 108.jpg
112.txt,476.jpg 1380.jpg 1040.jpg 561.jpg 904.jpg 760.jpg 338.jpg 539.jpg 393.jpg 1413.jpg 372.jpg 1227.jpg 1648.jpg 1980.jpg 1618.jpg 563.jpg 823.jpg 523.jpg 725.jpg 781.jpg
126.txt,1151.jpg 1768.jpg 1465.jpg 458.jpg 1885.jpg 262.jpg 655.jpg 1940.jpg 1265.jpg 1289.jpg 1377.jpg 899.jpg 555.jpg 367.jpg 1790.jpg 897.jpg 402.jpg 1944.jpg 1275.jpg 1701.jpg
774.txt,338.jpg 476.jpg 760.jpg 1500.jpg 561.jpg 1980.jpg 696.jpg 1553.jpg 496.jpg 322.jpg 765.jpg 1040.jpg 1883.jpg 505.jpg 1648.jpg 998.jpg 1107.jpg 883.jpg 600.jpg 1700.jpg
1074.txt,442.jpg 1519.jpg 401.jpg 1317.jpg 1592.jpg 1399.jpg 1548.jpg 606.jpg 610.jpg 812.jpg 125.jpg 524.jpg 123.jpg 387.jpg 1963.jpg 1770.jpg 974.jpg 1985.jpg 1113.jpg 1229.jpg
367.txt,1553.jpg 393.jpg 1802.jpg 1919.jpg 1998.jpg 749.jpg 625.jpg 624.jpg 990.jpg 1720.jpg 1594.jpg 704.jpg 476.jpg 633.jpg 1700.jpg 60.jpg 153.jpg 272.jpg 309.jpg 72.jpg
37.txt,93.jpg 1410.jpg 1286.jpg 723.jpg 1053.jpg 92.jpg 1980.jpg 647.jpg 202.jpg 1836.jpg 1992.jpg 698.jpg 222.jpg 305.jpg 541.jpg 1627.jpg 353.jpg 1705.jpg 989.jpg 1047.jpg
1653.txt,1451.jpg 638.jpg 1958.jpg 1564.jpg 1561.jpg 104.jpg 1351.jpg 58.jpg 1945.jpg 1166.jpg 525.jpg 1076.jpg 1028.jpg 1856.jpg 657.jpg 1243.jpg 1271.jpg 1202.jpg 808.jpg 1161.jpg
1731.txt,1275.jpg 996.jpg 897.jpg 262.jpg 1311.jpg 1289.jpg 910.jpg 535.jpg 1458.jpg 1940.jpg 648.jpg 217.jpg 655.jpg 1151.jpg 1758.jpg 1855.jpg 583.jpg 1020.jpg 414.jpg 718.jpg
338.txt,164.jpg 1088.jpg 1384.jpg 1790.jpg 1069.jpg 1498.jpg 1466.jpg 1727.jpg 1510.jpg 2.jpg 619.jpg 216.jpg 959.jpg 1271.jpg 1855.jpg 46.jpg 1135.jpg 1402.jpg 52.jpg 395.jpg
168.txt,97.jpg 1493.jpg 1060.jpg 993.jpg 909.jpg 790.jpg 408.jpg 980.jpg 1906.jpg 915.jpg 990.jpg 755.jpg 254.jpg 1998.jpg 229.jpg 43.jpg 695.jpg 1168.jpg 1320.jpg 1651.jpg
1081.txt,1301.jpg 1189.jpg 824.jpg 884.jpg 1128.jpg 1552.jpg 441.jpg 145.jpg 817.jpg 1358.jpg 1357.jpg 573.jpg 207.jpg 750.jpg 190.jpg 1063.jpg 72.jpg 1595.jpg 933.jpg 275.jpg
240.txt,1084.jpg 768.jpg 1482.jpg 1421.jpg 1023.jpg 1475.jpg 184.jpg 1059.jpg 696.jpg 1471.jpg 120.jpg 979.jpg 15.jpg 1665.jpg 904.jpg 1437.jpg 42.jpg 1344.jpg 821.jpg 1413.jpg
362.txt,1684.jpg 1314.jpg 1375.jpg 108.jpg 1793.jpg 232.jpg 1828.jpg 1309.jpg 1792.jpg 935.jpg 1113.jpg 1268.jpg 84.jpg 1170.jpg 681.jpg 1626.jpg 1016.jpg 1777.jpg 1072.jpg 1914.jpg
1212.txt,829.jpg 1913.jpg 614.jpg 1446.jpg 140.jpg 1335.jpg 1402.jpg 1700.jpg 413.jpg 849.jpg 1161.jpg 1292.jpg 1206.jpg 1254.jpg 1693.jpg 1426.jpg 1088.jpg 1837.jpg 1943.jpg 1980.jpg
1607.txt,424.jpg 1055.jpg 1303.jpg 1163.jpg 1086.jpg 1608.jpg 816.jpg 889.jpg 462.jpg 882.jpg 533.jpg 1293.jpg 204.jpg 564.jpg 178.jpg 425.jpg 596.jpg 1942.jpg 1958.jpg 809.jpg
1699.txt,1147.jpg 1192.jpg 1839.jpg 1507.jpg 107.jpg 1308.jpg 198.jpg 674.jpg 149.jpg 1615.jpg 1141.jpg 668.jpg 738.jpg 1102.jpg 1184.jpg 1369.jpg 482.jpg 1021.jpg 1075.jpg 1999.jpg
637.txt,1460.jpg 96.jpg 867.jpg 227.jpg 17.jpg 1338.jpg 976.jpg 187.jpg 1853.jpg 211.jpg 624.jpg 1021.jpg 1165.jpg 1656.jpg 674.jpg 395.jpg 1093.jpg 308.jpg 1066.jpg 1257.jpg
263.txt,1421.jpg 1475.jpg 607.jpg 1033.jpg 696.jpg 1471.jpg 184.jpg 1739.jpg 42.jpg 1211.jpg 3.jpg 1482.jpg 1031.jpg 1183.jpg 1040.jpg 338.jpg 511.jpg 1344.jpg 1004.jpg 559.jpg
1184.txt,1686.jpg 1905.jpg 1995.jpg 624.jpg 1517.jpg 805.jpg 1624.jpg 1932.jpg 1680.jpg 798.jpg 1918.jpg 1095.jpg 1583.jpg 764.jpg 857.jpg 417.jpg 1130.jpg 731.jpg 267.jpg 1430.jpg
1566.txt,921.jpg 964.jpg 498.jpg 1926.jpg 69.jpg 1043.jpg 620.jpg 210.jpg 1213.jpg 734.jpg 1307.jpg 1434.jpg 1746.jpg 138.jpg 617.jpg 880.jpg 744.jpg 522.jpg 70.jpg 914.jpg
997.txt,1767.jpg 925.jpg 1930.jpg 1632.jpg 852.jpg 148.jpg 618.jpg 573.jpg 817.jpg 709.jpg 441.jpg 474.jpg 218.jpg 71.jpg 1453.jpg 72.jpg 1430.jpg 506.jpg 1996.jpg 85.jpg
705.txt,351.jpg 845.jpg 1913.jpg 1923.jpg 451.jpg 808.jpg 1088.jpg 1541.jpg 1837.jpg 1617.jpg 1253.jpg 1446.jpg 1231.jpg 1426.jpg 711.jpg 771.jpg 1693.jpg 393.jpg 1292.jpg 940.jpg
349.txt,145.jpg 1301.jpg 1189.jpg 275.jpg 933.jpg 1357.jpg 737.jpg 1552.jpg 1128.jpg 824.jpg 884.jpg 1731.jpg 716.jpg 1831.jpg 1063.jpg 190.jpg 203.jpg 1595.jpg 1358.jpg 441.jpg
1432.txt,305.jpg 68.jpg 46.jpg 256.jpg 1243.jpg 1913.jpg 849.jpg 1384.jpg 1446.jpg 1231.jpg 1018.jpg 1466.jpg 360.jpg 999.jpg 1254.jpg 916.jpg 1816.jpg 1606.jpg 614.jpg 549.jpg
1313.txt,1142.jpg 108.jpg 193.jpg 1474.jpg 782.jpg 856.jpg 1979.jpg 1017.jpg 1981.jpg 428.jpg 204.jpg 1770.jpg 1281.jpg 1781.jpg 211.jpg 702.jpg 1822.jpg 1015.jpg 1395.jpg 789.jpg
1281.txt,1985.jpg 1142.jpg 1592.jpg 858.jpg 34.jpg 1317.jpg 791.jpg 1912.jpg 856.jpg 1478.jpg 1519.jpg 442.jpg 86.jpg 1942.jpg 40.jpg 341.jpg 665.jpg 252.jpg 102.jpg 1770.jpg
183.txt,1742.jpg 238.jpg 331.jpg 1733.jpg 1601.jpg 888.jpg 1199.jpg 850.jpg 587.jpg 611.jpg 1688.jpg 428.jpg 572.jpg 1134.jpg 1714.jpg 179.jpg 818.jpg 1988.jpg 1550.jpg 1559.jpg
1547.txt,2.jpg 638.jpg 780.jpg 912.jpg 759.jpg 733.jpg 1964.jpg 1356.jpg 1131.jpg 484.jpg 1466.jpg 1510.jpg 1019.jpg 1915.jpg 956.jpg 1271.jpg 1237.jpg 922.jpg 1422.jpg 1490.jpg
1941.txt,159.jpg 781.jpg 322.jpg 696.jpg 1553.jpg 1500.jpg 634.jpg 883.jpg 1611.jpg 1471.jpg 1197.jpg 476.jpg 1389.jpg 821.jpg 663.jpg 1883.jpg 1482.jpg 15.jpg 1720.jpg 1927.jpg
805.txt,1375.jpg 1643.jpg 1452.jpg 1025.jpg 1636.jpg 1822.jpg 76.jpg 922.jpg 1076.jpg 592.jpg 312.jpg 959.jpg 1650.jpg 313.jpg 1510.jpg 1684.jpg 991.jpg 1316.jpg 1663.jpg 1466.jpg
340.txt,585.jpg 433.jpg 1310.jpg 1326.jpg 1093.jpg 1431.jpg 1468.jpg 640.jpg 1709.jpg 1761.jpg 1485.jpg 701.jpg 1634.jpg 393.jpg 1239.jpg 725.jpg 460.jpg 1427.jpg 1527.jpg 1619.jpg
497.txt,150.jpg 1597.jpg 687.jpg 608.jpg 1161.jpg 265.jpg 199.jpg 1231.jpg 1451.jpg 956.jpg 1243.jpg 1942.jpg 1462.jpg 922.jpg 112.jpg 282.jpg 1735.jpg 348.jpg 1843.jpg 985.jpg
1853.txt,1505.jpg 1176.jpg 1617.jpg 1292.jpg 1648.jpg 1149.jpg 1501.jpg 476.jpg 496.jpg 1479.jpg 19.jpg 904.jpg 174.jpg 234.jpg 338.jpg 188.jpg 760.jpg 868.jpg 340.jpg 73.jpg
85.txt,959.jpg 1510.jpg 112.jpg 922.jpg 1466.jpg 1822.jpg 1452.jpg 754.jpg 86.jpg 312.jpg 40.jpg 1375.jpg 956.jpg 619.jpg 252.jpg 1643.jpg 1113.jpg 1942.jpg 1592.jpg 1915.jpg
394.txt,548.jpg 1182.jpg 1299.jpg 713.jpg 988.jpg 1221.jpg 890.jpg 1257.jpg 1160.jpg 470.jpg 1951.jpg 1252.jpg 1549.jpg 95.jpg 301.jpg 1863.jpg 298.jpg 1159.jpg 9.jpg 746.jpg
626.txt,1369.jpg 1839.jpg 198.jpg 149.jpg 1999.jpg 1184.jpg 191.jpg 1158.jpg 738.jpg 107.jpg 1141.jpg 247.jpg 1147.jpg 1507.jpg 6.jpg 1381.jpg 1102.jpg 668.jpg 1477.jpg 482.jpg
151.txt,1184.jpg 674.jpg 198.jpg 1999.jpg 1192.jpg 1839.jpg 1369.jpg 191.jpg 1615.jpg 107.jpg 1477.jpg 587.jpg 738.jpg 1757.jpg 1989.jpg 1381.jpg 1147.jpg 428.jpg 1959.jpg 225.jpg
1674.txt,1870.jpg 1602.jpg 536.jpg 1115.jpg 1062.jpg 584.jpg 74.jpg 1520.jpg 101.jpg 1454.jpg 1539.jpg 1722.jpg 1633.jpg 534.jpg 593.jpg 654.jpg 1732.jpg 522.jpg 1036.jpg 1406.jpg
1215.txt,1076.jpg 1822.jpg 877.jpg 978.jpg 766.jpg 76.jpg 1462.jpg 1395.jpg 1735.jpg 484.jpg 595.jpg 150.jpg 336.jpg 312.jpg 949.jpg 1219.jpg 742.jpg 1843.jpg 1351.jpg 1466.jpg
